id, obj,long,lat,len,width
('>>', '>>>', 2), FoodTruck,0,0,4.768519878387451,3.413191795349121
('>>', '>>>', 2), BusStop,0,0,2.65078067779541,5.258327960968018
('>>', '>>>', 2), FireHydrant,0,0,0.49921077489852905,0.5342273712158203
id, obj,long,lat,len,width
id, obj,long,lat,len,width
('>>', '>>>', 2), FoodTruck,0,0,4.768519878387451,3.413191795349121
('>>', '>>>', 2), BusStop,0,0,2.896806001663208,5.0120439529418945
('>>', '>>>', 2), FireHydrant,0,0,0.7737174034118652,0.6704663038253784
id, obj,long,lat,len,width
('>>', '>>>', 2), FoodTruck,0,0,6.32572078704834,3.4923346042633057
('>>', '>>>', 2), BusStop,0,0,2.896806001663208,5.0120439529418945
('>>', '>>>', 2), FireHydrant,0,0,0.5039385557174683,0.5294995307922363
id, obj,long,lat,len,width
('>>', '>>>', 2), FoodTruck,0,0,5.27737283706665,2.9043384790420532
('>>', '>>>', 2), BusStop,0,0,2.65078067779541,5.258327960968018
('>>', '>>>', 2), FireHydrant,0,0,0.49921077489852905,0.5342273712158203
